import time: self [us] | cumulative | imported package
import time:       527 |        527 |                   _zoneinfo
import time:       629 |       6762 |                 zoneinfo
import time:       563 |        563 |                 pydantic.annotated_handlers
import time:      2904 |       2904 |                 pydantic.functional_validators
import time:       614 |        614 |                   pydantic._internal._core_metadata
import time:       393 |        393 |                   pydantic._internal._schema_generation_shared
import time:      2607 |       3614 |                 pydantic.json_schema
import time:       458 |        458 |                 pydantic._internal._discriminated_union
import time:       589 |        589 |                 pydantic._internal._known_annotated_metadata
import time:       696 |        696 |                 pydantic._internal._schema_gather
import time:      2687 |      26049 |               pydantic._internal._generate_schema
import time:       365 |        365 |               pydantic._internal._signature
import time:      1661 |      28074 |             pydantic._internal._model_construction
import time:      1139 |       1139 |               http
import time:       936 |       2074 |             starlette.exceptions
import time:      6227 |       6227 |               annotated_types
import time:       778 |        778 |               pydantic._internal._validators
import time:      5047 |       5047 |               pydantic.types
import time:      2582 |      14632 |             pydantic.fields
import time:        94 |         94 |                     zlib
import time:       587 |        587 |                       _compression
import time:       827 |        827 |                       _bz2
import time:       756 |       2169 |                     bz2
import time:      1001 |       1001 |                       _lzma
import time:       682 |       1683 |                     lzma
import time:       866 |       4810 |                   shutil
import time:       459 |        459 |                     zipfile._path.glob
import time:       791 |       1249 |                   zipfile._path
import time:       996 |       7054 |                 zipfile
import time:       657 |        657 |                 importlib.metadata._meta
import time:       526 |        526 |                 importlib.metadata._collections
import time:       460 |        460 |                 importlib.metadata._functools
import time:       385 |        385 |                 importlib.metadata._itertools
import time:        41 |         41 |                             _bisect
import time:       367 |        408 |                           bisect
import time:        31 |         31 |                           _random
import time:       583 |       1021 |                         random
import time:       629 |       1649 |                       tempfile
import time:       527 |        527 |                       importlib.resources.abc
import time:       852 |       3028 |                     importlib.resources._common
import time:       382 |        382 |                     importlib.resources._functional
import time:       574 |       3983 |                   importlib.resources
import time:       549 |       4531 |                 importlib.abc
import time:      1152 |      14764 |               importlib.metadata
import time:       645 |      15408 |             pydantic.plugin._loader
import time:      9972 |     114677 |           fastapi.exceptions
import time:       528 |        528 |             fastapi.openapi
import time:       623 |        623 |                 fastapi.types
import time:       552 |        552 |                   shlex
import time:       500 |        500 |                           anyio._core
import time:       653 |       1153 |                         anyio._core._contextmanagers
import time:       402 |        402 |                           anyio._core._exceptions
import time:       385 |        385 |                             sniffio._version
import time:       339 |        339 |                             sniffio._impl
import time:       469 |       1192 |                           sniffio
import time:       435 |       2028 |                         anyio._core._eventloop
import time:       833 |        833 |                                 signal
import time:       515 |        515 |                                     select
import time:       732 |       1247 |                                   selectors
import time:      4270 |       5517 |                                 socket
import time:       738 |       7087 |                               anyio.abc._eventloop
import time:       607 |        607 |                               anyio.abc._resources
import time:       642 |        642 |                                 anyio._core._typedattr
import time:       404 |        404 |                                   anyio.abc._tasks
import time:      1039 |       1443 |                                 anyio.abc._streams
import time:       744 |       2828 |                               anyio.abc._sockets
import time:       370 |        370 |                               anyio.abc._subprocesses
import time:       392 |        392 |                               anyio.abc._testing
import time:      1833 |       1833 |                                 anyio.lowlevel
import time:       967 |        967 |                                 anyio._core._tasks
import time:       588 |        588 |                                 anyio._core._testing
import time:      3250 |       6636 |                               anyio._core._synchronization
import time:       552 |        552 |                                   concurrent
import time:       571 |        571 |                                         _colorize
import time:      1213 |       1783 |                                       traceback
import time:       567 |        567 |                                       atexit
import time:      2000 |       4349 |                                     logging
import time:      4148 |       8497 |                                   concurrent.futures._base
import time:       997 |      10045 |                                 concurrent.futures
import time:      1528 |      11572 |                               anyio.from_thread
import time:       627 |      30118 |                             anyio.abc
import time:       540 |      30657 |                           anyio.to_thread
import time:      1131 |      31788 |                         anyio._core._fileio
import time:       596 |        596 |                         anyio._core._resources
import time:       340 |        340 |                         anyio._core._signals
import time:      9437 |       9437 |                             _ssl
import time:      2792 |      12229 |                           ssl
import time:       784 |        784 |                             anyio.streams
import time:      1568 |       2351 |                           anyio.streams.stapled
import time:      1312 |       1312 |                           anyio.streams.tls
import time:      1117 |      17008 |                         anyio._core._sockets
import time:      2046 |       2046 |                           anyio.streams.memory
import time:      1129 |       3175 |                         anyio._core._streams
import time:        65 |         65 |                               _locale
import time:       964 |       1028 |                             locale
import time:       181 |        181 |                             fcntl
