import time: self [us] | cumulative | imported package
import time:      1409 |       2278 |                     sysconfig
import time:        39 |         39 |                     _sysconfig
import time:     11258 |      13574 |                   zoneinfo._tzpath
import time:      9174 |       9174 |                   zoneinfo._common
import time:     24980 |      24980 |                   _zoneinfo
import time:      8769 |      56496 |                 zoneinfo
import time:      1298 |       1298 |                 pydantic.annotated_handlers
import time:      3786 |       3786 |                 pydantic.functional_validators
import time:      1016 |       1016 |                   pydantic._internal._core_metadata
import time:       724 |        724 |                   pydantic._internal._schema_generation_shared
import time:      2663 |       4402 |                 pydantic.json_schema
import time:      1224 |       1224 |                 pydantic._internal._discriminated_union
import time:      1186 |       1186 |                 pydantic._internal._known_annotated_metadata
import time:      1015 |       1015 |                 pydantic._internal._schema_gather
import time:      2074 |     104303 |               pydantic._internal._generate_schema
import time:       626 |        626 |               pydantic._internal._signature
import time:      1028 |     105956 |             pydantic._internal._model_construction
import time:      2184 |       2184 |               http
import time:       710 |       2894 |             starlette.exceptions
import time:      6150 |       6150 |               annotated_types
import time:      1189 |       1189 |               pydantic._internal._validators
import time:      9292 |       9292 |               pydantic.types
import time:      2565 |      19196 |             pydantic.fields
import time:       232 |        232 |                     zlib
import time:       740 |        740 |                       _compression
import time:     23072 |      23072 |                       _bz2
import time:      1435 |      25246 |                     bz2
import time:     24811 |      24811 |                       _lzma
import time:      1113 |      25924 |                     lzma
import time:      1780 |      53181 |                   shutil
import time:       701 |        701 |                     zipfile._path.glob
import time:      1180 |       1880 |                   zipfile._path
import time:      2063 |      57123 |                 zipfile
import time:       880 |        880 |                 importlib.metadata._meta
import time:      1358 |       1358 |                 importlib.metadata._collections
import time:       574 |        574 |                 importlib.metadata._functools
import time:       634 |        634 |                 importlib.metadata._itertools
import time:        60 |         60 |                             _bisect
import time:      1984 |       2044 |                           bisect
import time:        32 |         32 |                           _random
import time:      1556 |       3631 |                         random
import time:       899 |       4529 |                       tempfile
import time:      1291 |       1291 |                       importlib.resources.abc
import time:       875 |       6695 |                     importlib.resources._common
import time:      1039 |       1039 |                     importlib.resources._functional
import time:      1260 |       8993 |                   importlib.resources
import time:       744 |       9736 |                 importlib.abc
import time:      2650 |      72953 |               importlib.metadata
import time:      1787 |      74740 |             pydantic.plugin._loader
import time:    328525 |     724126 |           fastapi.exceptions
import time:      1781 |       1781 |             fastapi.openapi
import time:       759 |        759 |                 fastapi.types
import time:       924 |        924 |                   shlex
import time:       859 |        859 |                           anyio._core
import time:      1850 |       2708 |                         anyio._core._contextmanagers
